subjectId,chapter,level,playTime,deaths,badgesEarned,anglesUnlocked,playCount
3001,1,7,error,0,0,4,1
3001,1,6,error,1,0,4,2
3001,1,9,error,1,0,11,2
3001,1,8,error,2,1,10,3
3001,3,1,error,0,0,1,1
3001,3,3,error,0,0,6,1
3001,3,2,error,0,0,3,1
3001,2,1,error,0,0,1,1
3001,2,3,error,0,0,2,1
3001,2,2,error,0,0,2,1
3001,2,5,error,0,0,2,1
3001,2,4,error,1,1,4,2
3001,2,7,error,1,1,10,2
3001,2,6,error,1,1,8,2
3111,1,1,error,0,0,0,2
3111,1,3,error,0,0,0,2
3111,1,2,error,0,0,0,2
3111,1,5,error,0,0,4,2
3111,1,4,error,1,0,2,3
3111,1,7,error,8,0,21,9
3111,1,6,error,0,0,6,2
3111,1,9,error,1,0,6,2
3111,1,8,error,1,0,5,2
3111,3,1,error,0,0,1,1
3111,3,3,error,2,0,32,8
3111,3,2,error,1,0,7,3
3111,3,5,error,1,0,2,2
3111,3,4,error,2,0,4,3
3111,2,1,error,0,0,1,1
3111,2,3,error,0,0,3,1
3111,2,2,error,0,0,2,1
3111,2,5,error,1,0,6,2
3111,2,4,error,1,0,4,2
3111,2,7,error,4,0,30,5
3111,2,6,error,0,0,4,1
3003,1,1,error,0,0,0,1
3003,1,3,error,0,0,0,1
3003,1,2,error,0,0,0,1
3003,1,5,error,0,0,2,1
3003,1,4,error,0,0,1,1
3003,1,7,error,0,0,3,1
3003,1,6,error,0,0,3,1
3003,1,9,error,0,0,3,1
3003,1,8,error,0,1,6,2
3003,2,1,error,0,0,1,1
3003,2,3,error,0,0,3,1
3003,2,2,error,2,0,7,6
3003,2,5,error,1,0,9,3
3003,2,4,error,3,1,12,5
3003,2,7,error,2,0,8,4
3003,2,6,error,3,1,29,5
3002,1,1,error,0,0,0,1
3002,1,3,error,1,0,0,2
3002,1,2,error,0,0,0,1
3002,1,5,error,1,0,4,2
3002,1,4,error,0,0,2,1
3002,1,7,error,7,0,20,7
3002,1,6,error,3,0,6,3
3002,1,9,error,1,0,2,2
3002,1,8,error,3,0,13,3
3223,1,1,error,0,0,0,4
3223,1,3,error,1,0,0,5
3223,1,2,error,0,0,0,4
3223,1,5,error,3,0,11,7
3223,1,4,error,0,0,4,4
3223,1,7,error,7,0,28,9
3223,1,6,error,6,0,14,9
3223,1,9,error,0,0,4,1
3223,1,8,error,2,1,8,3
3223,2,1,error,0,0,3,3
3223,2,3,error,1,0,9,3
3223,2,2,error,4,0,10,9
3223,2,5,error,0,0,8,1
3223,2,4,error,7,0,12,8
3223,2,7,error,0,0,0,1
